full_name,entity_name,rustmath_location,implementation_type,reasoning
sage.graphs.bipartite_graph,bipartite_graph,rustmath-graphs,FULL,Module structure in rustmath-graphs
sage.graphs.bipartite_graph.BipartiteGraph,BipartiteGraph,rustmath-graphs,FULL,Implemented in rustmath-graphs
sage.graphs.digraph,digraph,rustmath-graphs,FULL,Module structure in rustmath-graphs
sage.graphs.digraph.DiGraph,DiGraph,rustmath-graphs,FULL,Implemented in rustmath-graphs
sage.graphs.digraph_generators,digraph_generators,rustmath-graphs,FULL,Module structure in rustmath-graphs
sage.graphs.digraph_generators.DiGraphGenerators,DiGraphGenerators,rustmath-graphs,FULL,Implemented in rustmath-graphs
sage.graphs.graph,graph,rustmath-graphs,FULL,Module structure in rustmath-graphs
sage.graphs.graph.Graph,Graph,rustmath-graphs,FULL,Implemented in rustmath-graphs
sage.groups.abelian_gps.abelian_aut,abelian_aut,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.abelian_gps.abelian_aut.AbelianGroupAutomorphism,AbelianGroupAutomorphism,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.abelian_aut.AbelianGroupAutomorphismGroup,AbelianGroupAutomorphismGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.abelian_aut.AbelianGroupAutomorphismGroup_gap,AbelianGroupAutomorphismGroup_gap,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.abelian_aut.AbelianGroupAutomorphismGroup_subgroup,AbelianGroupAutomorphismGroup_subgroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.abelian_group,abelian_group,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.abelian_gps.abelian_group.AbelianGroup,AbelianGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.abelian_group.AbelianGroup_class,AbelianGroup_class,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.abelian_group.AbelianGroup_subgroup,AbelianGroup_subgroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.abelian_group.is_AbelianGroup,is_AbelianGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.abelian_group.word_problem,word_problem,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.abelian_group_element,abelian_group_element,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.abelian_gps.abelian_group_element.AbelianGroupElement,AbelianGroupElement,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.abelian_group_element.is_AbelianGroupElement,is_AbelianGroupElement,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.abelian_group_gap,abelian_group_gap,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.abelian_gps.abelian_group_gap.AbelianGroupElement_gap,AbelianGroupElement_gap,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.abelian_group_gap.AbelianGroupElement_polycyclic,AbelianGroupElement_polycyclic,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.abelian_group_gap.AbelianGroupGap,AbelianGroupGap,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.abelian_group_gap.AbelianGroupQuotient_gap,AbelianGroupQuotient_gap,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.abelian_group_gap.AbelianGroupSubgroup_gap,AbelianGroupSubgroup_gap,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.abelian_group_gap.AbelianGroup_gap,AbelianGroup_gap,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.abelian_group_morphism,abelian_group_morphism,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.abelian_gps.abelian_group_morphism.AbelianGroupMap,AbelianGroupMap,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.abelian_group_morphism.AbelianGroupMorphism,AbelianGroupMorphism,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.abelian_group_morphism.is_AbelianGroupMorphism,is_AbelianGroupMorphism,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.dual_abelian_group,dual_abelian_group,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.abelian_gps.dual_abelian_group.DualAbelianGroup_class,DualAbelianGroup_class,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.dual_abelian_group.is_DualAbelianGroup,is_DualAbelianGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.dual_abelian_group_element,dual_abelian_group_element,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.abelian_gps.dual_abelian_group_element.DualAbelianGroupElement,DualAbelianGroupElement,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.dual_abelian_group_element.is_DualAbelianGroupElement,is_DualAbelianGroupElement,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.element_base,element_base,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.abelian_gps.element_base.AbelianGroupElementBase,AbelianGroupElementBase,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.values,values,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.abelian_gps.values.AbelianGroupWithValues,AbelianGroupWithValues,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.values.AbelianGroupWithValuesElement,AbelianGroupWithValuesElement,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.values.AbelianGroupWithValuesEmbedding,AbelianGroupWithValuesEmbedding,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.abelian_gps.values.AbelianGroupWithValues_class,AbelianGroupWithValues_class,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.binary_dihedral,binary_dihedral,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.matrix_gps.binary_dihedral.BinaryDihedralGroup,BinaryDihedralGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.catalog,catalog,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.matrix_gps.coxeter_group,coxeter_group,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.matrix_gps.coxeter_group.CoxeterMatrixGroup,CoxeterMatrixGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.coxeter_group.Element,Element,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.finitely_generated,finitely_generated,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.matrix_gps.finitely_generated.FinitelyGeneratedMatrixGroup_generic,FinitelyGeneratedMatrixGroup_generic,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.finitely_generated.MatrixGroup,MatrixGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.finitely_generated.QuaternionMatrixGroupGF3,QuaternionMatrixGroupGF3,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.finitely_generated.normalize_square_matrices,normalize_square_matrices,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.finitely_generated_gap,finitely_generated_gap,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.matrix_gps.finitely_generated_gap.FinitelyGeneratedMatrixGroup_gap,FinitelyGeneratedMatrixGroup_gap,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.group_element,group_element,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.matrix_gps.group_element.MatrixGroupElement_generic,MatrixGroupElement_generic,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.group_element.is_MatrixGroupElement,is_MatrixGroupElement,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.group_element_gap,group_element_gap,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.matrix_gps.group_element_gap.MatrixGroupElement_gap,MatrixGroupElement_gap,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.heisenberg,heisenberg,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.matrix_gps.heisenberg.HeisenbergGroup,HeisenbergGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.isometries,isometries,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.matrix_gps.isometries.GroupActionOnQuotientModule,GroupActionOnQuotientModule,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.isometries.GroupActionOnSubmodule,GroupActionOnSubmodule,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.isometries.GroupOfIsometries,GroupOfIsometries,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.linear,linear,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.matrix_gps.linear.GL,GL,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.linear.LinearMatrixGroup_generic,LinearMatrixGroup_generic,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.linear.SL,SL,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.linear_gap,linear_gap,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.matrix_gps.linear_gap.LinearMatrixGroup_gap,LinearMatrixGroup_gap,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.matrix_group,matrix_group,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.matrix_gps.matrix_group.MatrixGroup_base,MatrixGroup_base,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.matrix_group.MatrixGroup_generic,MatrixGroup_generic,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.matrix_group.is_MatrixGroup,is_MatrixGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.matrix_group_gap,matrix_group_gap,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.matrix_gps.matrix_group_gap.MatrixGroup_gap,MatrixGroup_gap,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.named_group,named_group,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.matrix_gps.named_group.NamedMatrixGroup_generic,NamedMatrixGroup_generic,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.named_group.normalize_args_invariant_form,normalize_args_invariant_form,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.named_group.normalize_args_vectorspace,normalize_args_vectorspace,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.named_group_gap,named_group_gap,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.matrix_gps.named_group_gap.NamedMatrixGroup_gap,NamedMatrixGroup_gap,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.orthogonal,orthogonal,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.matrix_gps.orthogonal.GO,GO,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.orthogonal.OrthogonalMatrixGroup_generic,OrthogonalMatrixGroup_generic,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.orthogonal.SO,SO,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.orthogonal.normalize_args_e,normalize_args_e,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.orthogonal_gap,orthogonal_gap,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.matrix_gps.orthogonal_gap.OrthogonalMatrixGroup_gap,OrthogonalMatrixGroup_gap,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.symplectic,symplectic,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.matrix_gps.symplectic.Sp,Sp,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.symplectic.SymplecticMatrixGroup_generic,SymplecticMatrixGroup_generic,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.symplectic_gap,symplectic_gap,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.matrix_gps.symplectic_gap.SymplecticMatrixGroup_gap,SymplecticMatrixGroup_gap,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.unitary,unitary,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.matrix_gps.unitary.GU,GU,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.unitary.SU,SU,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.unitary.UnitaryMatrixGroup_generic,UnitaryMatrixGroup_generic,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.unitary.finite_field_sqrt,finite_field_sqrt,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.matrix_gps.unitary_gap,unitary_gap,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.matrix_gps.unitary_gap.UnitaryMatrixGroup_gap,UnitaryMatrixGroup_gap,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.constructor,constructor,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.perm_gps.constructor.PermutationGroupElement,PermutationGroupElement,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.constructor.standardize_generator,standardize_generator,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.constructor.string_to_tuples,string_to_tuples,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.cubegroup,cubegroup,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.perm_gps.cubegroup.CubeGroup,CubeGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.cubegroup.RubiksCube,RubiksCube,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.cubegroup.color_of_square,color_of_square,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.cubegroup.create_poly,create_poly,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.cubegroup.cubie_centers,cubie_centers,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.cubegroup.cubie_colors,cubie_colors,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.cubegroup.cubie_faces,cubie_faces,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.cubegroup.index2singmaster,index2singmaster,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.cubegroup.inv_list,inv_list,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.cubegroup.plot3d_cubie,plot3d_cubie,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.cubegroup.polygon_plot3d,polygon_plot3d,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.cubegroup.rotation_list,rotation_list,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.cubegroup.xproj,xproj,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.cubegroup.yproj,yproj,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.partn_ref.canonical_augmentation,canonical_augmentation,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.perm_gps.partn_ref.data_structures,data_structures,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.perm_gps.partn_ref.data_structures.OP_represent,OP_represent,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.partn_ref.data_structures.PS_represent,PS_represent,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.partn_ref.data_structures.SC_test_list_perms,SC_test_list_perms,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.partn_ref.refinement_graphs,refinement_graphs,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.perm_gps.partn_ref.refinement_graphs.GraphStruct,GraphStruct,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.partn_ref.refinement_graphs.all_labeled_graphs,all_labeled_graphs,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.partn_ref.refinement_graphs.coarsest_equitable_refinement,coarsest_equitable_refinement,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.partn_ref.refinement_graphs.generate_dense_graphs_edge_addition,generate_dense_graphs_edge_addition,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.partn_ref.refinement_graphs.generate_dense_graphs_vert_addition,generate_dense_graphs_vert_addition,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.partn_ref.refinement_graphs.get_orbits,get_orbits,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.partn_ref.refinement_graphs.isomorphic,isomorphic,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.partn_ref.refinement_graphs.orbit_partition,orbit_partition,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.partn_ref.refinement_graphs.random_tests,random_tests,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.partn_ref.refinement_graphs.search_tree,search_tree,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.partn_ref.refinement_lists,refinement_lists,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.perm_gps.partn_ref.refinement_lists.is_isomorphic,is_isomorphic,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.partn_ref.refinement_matrices,refinement_matrices,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.perm_gps.partn_ref.refinement_matrices.MatrixStruct,MatrixStruct,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.partn_ref.refinement_matrices.random_tests,random_tests,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup,permgroup,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.perm_gps.permgroup.PermutationGroup,PermutationGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup.PermutationGroup_action,PermutationGroup_action,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup.PermutationGroup_generic,PermutationGroup_generic,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup.PermutationGroup_subgroup,PermutationGroup_subgroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup.direct_product_permgroups,direct_product_permgroups,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup.from_gap_list,from_gap_list,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup.hap_decorator,hap_decorator,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup.load_hap,load_hap,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_element,permgroup_element,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.perm_gps.permgroup_element.PermutationGroupElement,PermutationGroupElement,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_element.SymmetricGroupElement,SymmetricGroupElement,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_element.is_PermutationGroupElement,is_PermutationGroupElement,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_element.make_permgroup_element,make_permgroup_element,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_element.make_permgroup_element_v2,make_permgroup_element_v2,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_morphism,permgroup_morphism,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.perm_gps.permgroup_morphism.PermutationGroupMorphism,PermutationGroupMorphism,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_morphism.PermutationGroupMorphism_from_gap,PermutationGroupMorphism_from_gap,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_morphism.PermutationGroupMorphism_id,PermutationGroupMorphism_id,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_morphism.PermutationGroupMorphism_im_gens,PermutationGroupMorphism_im_gens,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_morphism.is_PermutationGroupMorphism,is_PermutationGroupMorphism,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named,permgroup_named,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.perm_gps.permgroup_named.AlternatingGroup,AlternatingGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.ComplexReflectionGroup,ComplexReflectionGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.CyclicPermutationGroup,CyclicPermutationGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.DiCyclicGroup,DiCyclicGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.DihedralGroup,DihedralGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.GeneralDihedralGroup,GeneralDihedralGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.JankoGroup,JankoGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.KleinFourGroup,KleinFourGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.MathieuGroup,MathieuGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.PGL,PGL,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.PGU,PGU,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.PSL,PSL,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.PSU,PSU,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.PSp,PSp,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.PermutationGroup_plg,PermutationGroup_plg,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.PermutationGroup_pug,PermutationGroup_pug,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.PermutationGroup_symalt,PermutationGroup_symalt,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.PermutationGroup_unique,PermutationGroup_unique,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.PrimitiveGroup,PrimitiveGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.PrimitiveGroups,PrimitiveGroups,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.PrimitiveGroupsAll,PrimitiveGroupsAll,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.PrimitiveGroupsOfDegree,PrimitiveGroupsOfDegree,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.QuaternionGroup,QuaternionGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.SemidihedralGroup,SemidihedralGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.SmallPermutationGroup,SmallPermutationGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.SplitMetacyclicGroup,SplitMetacyclicGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.SuzukiGroup,SuzukiGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.SuzukiSporadicGroup,SuzukiSporadicGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.SymmetricGroup,SymmetricGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.TransitiveGroup,TransitiveGroup,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.TransitiveGroups,TransitiveGroups,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.TransitiveGroupsAll,TransitiveGroupsAll,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permgroup_named.TransitiveGroupsOfDegree,TransitiveGroupsOfDegree,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.permutation_groups_catalog,permutation_groups_catalog,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.perm_gps.symgp_conjugacy_class,symgp_conjugacy_class,rustmath-groups,FULL,Module structure in rustmath-groups
sage.groups.perm_gps.symgp_conjugacy_class.PermutationsConjugacyClass,PermutationsConjugacyClass,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.symgp_conjugacy_class.SymmetricGroupConjugacyClass,SymmetricGroupConjugacyClass,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.symgp_conjugacy_class.SymmetricGroupConjugacyClassMixin,SymmetricGroupConjugacyClassMixin,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.symgp_conjugacy_class.conjugacy_class_iterator,conjugacy_class_iterator,rustmath-groups,FULL,Implemented in rustmath-groups
sage.groups.perm_gps.symgp_conjugacy_class.default_representative,default_representative,rustmath-groups,FULL,Implemented in rustmath-groups
sage.homology,homology,rustmath-homology,FULL,Module structure in rustmath-homology
sage.homology.algebraic_topological_model,algebraic_topological_model,rustmath-homology,FULL,Module structure in rustmath-homology
sage.homology.algebraic_topological_model.algebraic_topological_model,algebraic_topological_model,rustmath-homology,FULL,Implemented in rustmath-homology
sage.homology.algebraic_topological_model.algebraic_topological_model_delta_complex,algebraic_topological_model_delta_complex,rustmath-homology,FULL,Implemented in rustmath-homology
sage.homology.chain_complex,chain_complex,rustmath-homology,FULL,Module structure in rustmath-homology
sage.homology.chain_complex.ChainComplex,ChainComplex,rustmath-homology,FULL,Implemented in rustmath-homology
sage.homology.chain_complex.ChainComplex_class,ChainComplex_class,rustmath-homology,FULL,Implemented in rustmath-homology
sage.homology.chain_complex.Chain_class,Chain_class,rustmath-homology,FULL,Implemented in rustmath-homology
sage.homology.chain_complex_homspace,chain_complex_homspace,rustmath-homology,FULL,Module structure in rustmath-homology
sage.homology.chain_complex_homspace.ChainComplexHomspace,ChainComplexHomspace,rustmath-homology,FULL,Implemented in rustmath-homology
sage.homology.chain_complex_homspace.is_ChainComplexHomspace,is_ChainComplexHomspace,rustmath-homology,FULL,Implemented in rustmath-homology
sage.homology.chain_complex_morphism,chain_complex_morphism,rustmath-homology,FULL,Module structure in rustmath-homology
sage.homology.chain_complex_morphism.ChainComplexMorphism,ChainComplexMorphism,rustmath-homology,FULL,Implemented in rustmath-homology
sage.homology.chain_complex_morphism.is_ChainComplexMorphism,is_ChainComplexMorphism,rustmath-homology,FULL,Implemented in rustmath-homology
sage.homology.chain_homotopy,chain_homotopy,rustmath-homology,FULL,Module structure in rustmath-homology
sage.homology.chain_homotopy.ChainContraction,ChainContraction,rustmath-homology,FULL,Implemented in rustmath-homology
sage.homology.chain_homotopy.ChainHomotopy,ChainHomotopy,rustmath-homology,FULL,Implemented in rustmath-homology
